Date,NAV,Fund,Fund_Type
17-01-2025 00:00,156.9185,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
16-01-2025 00:00,157.4976,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
15-01-2025 00:00,156.8501,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
14-01-2025 00:00,156.7659,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
13-01-2025 00:00,156.233,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
10-01-2025 00:00,158.4617,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
09-01-2025 00:00,1085.627,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
08-01-2025 00:00,1091.519,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
07-01-2025 00:00,1094.905,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
06-01-2025 00:00,1091.341,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
03-01-2025 00:00,1108.938,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
02-01-2025 00:00,1115.152,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
01-01-2025 00:00,1097.479,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
31-12-2024 00:00,1093.376,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
30-12-2024 00:00,1092.031,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
27-12-2024 00:00,1097.862,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
26-12-2024 00:00,1095.723,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
24-12-2024 00:00,1095.237,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
23-12-2024 00:00,1095.286,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
20-12-2024 00:00,1088.59,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
19-12-2024 00:00,1104.717,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
18-12-2024 00:00,1114.493,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
17-12-2024 00:00,1122.337,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
16-12-2024 00:00,1136.459,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
13-12-2024 00:00,1139.848,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
12-12-2024 00:00,1130.85,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
11-12-2024 00:00,1137.468,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
10-12-2024 00:00,1137.453,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
09-12-2024 00:00,1136.771,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
06-12-2024 00:00,1140.496,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
05-12-2024 00:00,1140.426,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
04-12-2024 00:00,1130.25,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
03-12-2024 00:00,1128.282,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
02-12-2024 00:00,1120.727,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
29-11-2024 00:00,1116.223,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
28-11-2024 00:00,1105.988,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
27-11-2024 00:00,163.2964,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
26-11-2024 00:00,162.9288,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
25-11-2024 00:00,163.0264,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
22-11-2024 00:00,160.9651,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
21-11-2024 00:00,158.1968,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
19-11-2024 00:00,158.808,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
18-11-2024 00:00,158.2551,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
14-11-2024 00:00,158.7387,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
13-11-2024 00:00,159.0568,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
12-11-2024 00:00,161.1201,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
11-11-2024 00:00,162.9337,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
08-11-2024 00:00,163.1037,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
07-11-2024 00:00,163.6118,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
06-11-2024 00:00,164.9948,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
05-11-2024 00:00,163.1077,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
04-11-2024 00:00,162.0145,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
31-10-2024 00:00,163.1686,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
30-10-2024 00:00,163.7703,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
29-10-2024 00:00,164.6471,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
28-10-2024 00:00,163.6839,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
25-10-2024 00:00,162.8197,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
24-10-2024 00:00,164.0325,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
23-10-2024 00:00,164.3506,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
22-10-2024 00:00,164.4781,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
21-10-2024 00:00,166.3842,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
18-10-2024 00:00,167.9297,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
17-10-2024 00:00,167.2443,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
16-10-2024 00:00,168.6304,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
15-10-2024 00:00,169.2638,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
14-10-2024 00:00,169.3326,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
11-10-2024 00:00,168.3112,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
10-10-2024 00:00,168.243,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
